pid	gid	pname
PWY-7206	Zm00001d016493	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7206	Zm00001d003051	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7206	Zm00001d025859	pyrimidine deoxyribonucleotides dephosphorylation
PWY1F-823	Zm00001d007918	leucopelargonidin and leucocyanidin biosynthesis
PWY1F-823	Zm00001d018839	leucopelargonidin and leucocyanidin biosynthesis
PWY1F-823	Zm00001d017077	leucopelargonidin and leucocyanidin biosynthesis
PWY1F-823	Zm00001d031802	leucopelargonidin and leucocyanidin biosynthesis
PWY1F-823	Zm00001d046811	leucopelargonidin and leucocyanidin biosynthesis
PWY1F-823	Zm00001d014481	leucopelargonidin and leucocyanidin biosynthesis
OXIDATIVEPENT-PWY	Zm00001d017760	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d025288	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d047587	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d015288	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d003252	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d025015	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d017119	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d029502	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d035925	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d049187	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d042184	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d022077	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d029525	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d032045	pentose phosphate pathway (oxidative branch) I
OXIDATIVEPENT-PWY	Zm00001d006185	pentose phosphate pathway (oxidative branch) I
PWY-4081	Zm00001d006437	glutathione-peroxide redox reactions
PWY-4081	Zm00001d023872	glutathione-peroxide redox reactions
PWY-4081	Zm00001d016478	glutathione-peroxide redox reactions
PWY-4081	Zm00001d025657	glutathione-peroxide redox reactions
PWY-4081	Zm00001d018454	glutathione-peroxide redox reactions
PWY-4081	Zm00001d027769	glutathione-peroxide redox reactions
PWY-4081	Zm00001d051392	glutathione-peroxide redox reactions
PWY-4081	Zm00001d037079	glutathione-peroxide redox reactions
PWY-4081	Zm00001d002704	glutathione-peroxide redox reactions
PWY-4081	Zm00001d026154	glutathione-peroxide redox reactions
PWY-4081	Zm00001d047448	glutathione-peroxide redox reactions
PWY-4081	Zm00001d029089	glutathione-peroxide redox reactions
PWY-4081	Zm00001d029085	glutathione-peroxide redox reactions
PWY-621	Zm00001d010482	sucrose degradation III (sucrose invertase)
PWY-621	Zm00001d034256	sucrose degradation III (sucrose invertase)
PWY-621	Zm00001d014644	sucrose degradation III (sucrose invertase)
PWY-621	Zm00001d005925	sucrose degradation III (sucrose invertase)
PWY-621	Zm00001d020771	sucrose degradation III (sucrose invertase)
PWY-621	Zm00001d044813	sucrose degradation III (sucrose invertase)
PWY-621	Zm00001d042536	sucrose degradation III (sucrose invertase)
PWY-621	Zm00001d033181	sucrose degradation III (sucrose invertase)
PWY-621	Zm00001d035038	sucrose degradation III (sucrose invertase)
PWY-621	Zm00001d042847	sucrose degradation III (sucrose invertase)
PWY-621	Zm00001d012173	sucrose degradation III (sucrose invertase)
PWY-621	Zm00001d035037	sucrose degradation III (sucrose invertase)
PWY-621	Zm00001d010092	sucrose degradation III (sucrose invertase)
PWY-621	Zm00001d015066	sucrose degradation III (sucrose invertase)
ARG-PRO-PWY	Zm00001d024908	L-arginine degradation VI (arginase 2 pathway)
ARG-PRO-PWY	Zm00001d033228	L-arginine degradation VI (arginase 2 pathway)
ARG-PRO-PWY	Zm00001d043756	L-arginine degradation VI (arginase 2 pathway)
ARG-PRO-PWY	Zm00001d042117	L-arginine degradation VI (arginase 2 pathway)
PWY-2301	Zm00001d008310	<i>myo</i>-inositol biosynthesis
PWY-2301	Zm00001d033110	<i>myo</i>-inositol biosynthesis
PWY-2301	Zm00001d053801	<i>myo</i>-inositol biosynthesis
PWY-2301	Zm00001d014292	<i>myo</i>-inositol biosynthesis
PWY-2301	Zm00001d030506	<i>myo</i>-inositol biosynthesis
PWY-2301	Zm00001d028180	<i>myo</i>-inositol biosynthesis
PWY-2301	Zm00001d045455	<i>myo</i>-inositol biosynthesis
PWY-2301	Zm00001d023601	<i>myo</i>-inositol biosynthesis
PWY-2301	Zm00001d048201	<i>myo</i>-inositol biosynthesis
PWY-2301	Zm00001d036866	<i>myo</i>-inositol biosynthesis
PWY-2301	Zm00001d037652	<i>myo</i>-inositol biosynthesis
PWY-6754	Zm00001d026573	<i>S</i>-methyl-5'-thioadenosine degradation I
PWY-6754	Zm00001d049823	<i>S</i>-methyl-5'-thioadenosine degradation I
PWY-6754	Zm00001d045558	<i>S</i>-methyl-5'-thioadenosine degradation I
PWY-6754	Zm00001d039301	<i>S</i>-methyl-5'-thioadenosine degradation I
PWY-6754	Zm00001d031621	<i>S</i>-methyl-5'-thioadenosine degradation I
PWY-5083	Zm00001d005632	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d011835	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d042052	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d046083	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d012599	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d050384	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d030138	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d022324	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d022341	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d019605	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d007048	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d012742	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d042061	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d043620	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d033531	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d011845	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d043224	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d028918	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d021958	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d043619	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d033753	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d038508	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d006421	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d031975	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d034244	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d012741	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d016705	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d031431	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d028181	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d008215	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d027389	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d025423	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d027493	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d048204	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d006714	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d031940	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d016566	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d011732	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d014428	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d035824	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d047441	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d038658	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d038441	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d021536	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d012469	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d013156	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d046260	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d013424	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d033530	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d040515	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d020930	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d040819	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d018479	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d004716	NAD/NADH phosphorylation and dephosphorylation
PWY-5083	Zm00001d053076	NAD/NADH phosphorylation and dephosphorylation
PWY-1881	Zm00001d004323	formate oxidation to CO<sub>2</sub>
PWY-1881	Zm00001d014163	formate oxidation to CO<sub>2</sub>
PWY-1881	Zm00001d053924	formate oxidation to CO<sub>2</sub>
PWY-1881	Zm00001d033618	formate oxidation to CO<sub>2</sub>
PWY-1881	Zm00001d017801	formate oxidation to CO<sub>2</sub>
PWY-1881	Zm00001d006877	formate oxidation to CO<sub>2</sub>
PWY-1881	Zm00001d045965	formate oxidation to CO<sub>2</sub>
PWY-1881	Zm00001d019818	formate oxidation to CO<sub>2</sub>
PWY-1881	Zm00001d011368	formate oxidation to CO<sub>2</sub>
PWY-1881	Zm00001d011367	formate oxidation to CO<sub>2</sub>
PWY0-1325	Zm00001d028750	superpathway of L-asparagine biosynthesis
PWY0-1325	Zm00001d010355	superpathway of L-asparagine biosynthesis
PWY0-1325	Zm00001d047736	superpathway of L-asparagine biosynthesis
PWY0-1325	Zm00001d044608	superpathway of L-asparagine biosynthesis
PWY0-1325	Zm00001d010196	superpathway of L-asparagine biosynthesis
PWY0-1325	Zm00001d045675	superpathway of L-asparagine biosynthesis
PWY0-1325	Zm00001d028766	superpathway of L-asparagine biosynthesis
PWY0-1325	Zm00001d006214	superpathway of L-asparagine biosynthesis
PWY0-1325	Zm00001d031563	superpathway of L-asparagine biosynthesis
PWY4FS-7	Zm00001d025213	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-7	Zm00001d045324	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-7	Zm00001d000029	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-7	Zm00001d043527	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-7	Zm00001d004913	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-7	Zm00001d038779	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-7	Zm00001d043207	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-7	Zm00001d043228	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-7	Zm00001d053024	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-7	Zm00001d028698	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-7	Zm00001d047763	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-7	Zm00001d024529	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-7	Zm00001d002367	phosphatidylglycerol biosynthesis I (plastidic)
PWY-5063	Zm00001d040356	phytyl diphosphate biosynthesis
